I [coord.cc:82] 2017-06-16 15:45:37.623 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.626 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.629 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.635 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.637 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.641 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.641 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.644 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.647 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.652 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.657 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.664 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.670 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.674 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.677 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.680 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.683 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.690 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.695 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.701 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.703 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.707 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.707 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.710 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.711 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.714 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.714 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.717 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.718 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.721 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.721 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.724 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.728 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.734 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.740 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.746 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.751 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.758 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.760 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.763 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.763 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.766 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.766 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.769 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.772 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.778 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.780 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.783 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.786 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.791 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.793 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.796 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.796 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.799 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.802 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.807 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.812 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.817 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.822 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.827 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.829 | start txn!!! : 0
